constructorId,constructor_name,constructor_country,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10
1,McLaren,British,1,179,3.3641509433962264,1110
2,BMW Sauber,German,0,1,2.2,91
3,Williams,British,1,114,2.243008079552517,764
4,Renault,French,0,35,2.2579415501905973,390
5,Toro Rosso,Italian,0,1,0.9328358208955224,158
6,Ferrari,Italian,1,243,4.3434289329396885,1614
7,Toyota,Japanese,0,0,0.9946428571428572,133
8,Super Aguri,Japanese,0,0,0.05128205128205128,3
9,Red Bull,Austrian,1,104,9.46111111111111,530
10,Force India,Indian,0,0,2.589622641509434,211
11,Honda,Japanese,0,3,1.0263157894736843,65
12,Spyker,Dutch,0,0,0.029411764705882353,1
13,MF1,Russian,0,0,0.0,2
14,Spyker MF1,Dutch,0,0,0.0,0
15,Sauber,Swiss,0,0,0.70595690747782,301
16,BAR,British,0,0,0.961864406779661,115
17,Jordan,Irish,0,4,0.582,186
18,Minardi,Italian,0,0,0.05654761904761905,119
19,Jaguar,British,0,0,0.28823529411764703,62
20,Prost,French,0,0,0.21212121212121213,53
21,Arrows,British,0,0,0.24067796610169492,201
22,Benetton,Italian,0,27,1.6567307692307693,301
23,Brawn,British,0,8,5.0588235294117645,32
24,Stewart,British,0,1,0.47959183673469385,27
25,Tyrrell,British,0,23,0.8070374574347332,354
26,Lola,British,0,0,0.16363636363636364,33
27,Ligier,French,0,9,0.6350245499181669,251
28,Forti,Italian,0,0,0.0,9
29,Footwork,British,0,0,0.12886597938144329,51
30,Pacific,British,0,0,0.0,3
31,Simtek,British,0,0,0.0,5
32,Team Lotus,British,0,45,1.142365097588978,367
33,Larrousse,French,0,0,0.10185185185185185,54
34,Brabham,British,0,23,0.9531722054380665,242
